name,team,bib_number,height,weight,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills,year_edition,age,bmi
KWIATKOWSKI Michał,INEOS Grenadiers (WT),107.0,1.76,68.0,4717,3670,3561,281,3312,3584,2025,35,21.952479338842977
RODRÍGUEZ Carlos,INEOS Grenadiers (WT),107.0,1.83,67.0,503,2483,447,14,2367,527,2025,24,20.00656932126967
GANNA Filippo,INEOS Grenadiers (WT),107.0,1.93,83.0,997,981,5698,312,298,1140,2025,29,22.28247738194314
THOMAS Geraint,INEOS Grenadiers (WT),107.0,1.83,71.0,1277,6411,5423,306,4205,2692,2025,39,21.20099137030069
ARENSMAN Thymen,INEOS Grenadiers (WT),107.0,1.9,68.0,62,1850,1291,28,1518,546,2025,26,18.83656509695291
DE PLUS Laurens,INEOS Grenadiers (WT),107.0,1.89,67.0,263,1517,446,7,1056,592,2025,30,18.75647378292881
FOSS Tobias,INEOS Grenadiers (WT),107.0,1.84,74.0,135,747,1815,13,484,321,2025,28,21.85727788279773
GIRMAY Biniam,Intermarché - Wanty (WT),107.0,1.84,70.0,3008,90,112,1276,238,1907,2025,25,20.6758034026465
PAGE Hugo,Intermarché - Wanty (WT),107.0,1.85,71.0,573,162,77,246,48,629,2025,24,20.74506939371804
REX Laurenz,Intermarché - Wanty (WT),107.0,1.93,82.0,778,65,2,367,16,247,2025,26,22.014013799028163
ZIMMERMANN Georg,Intermarché - Wanty (WT),107.0,1.81,70.0,988,683,0,55,677,780,2025,28,21.36686914318855
GOOSSENS Kobe,Intermarché - Wanty (WT),107.0,1.78,64.0,416,349,23,22,242,326,2025,29,20.199469763918696
BARRÉ Louis,Intermarché - Wanty (WT),107.0,1.84,68.0,508,278,0,4,203,411,2025,25,20.085066162570886
MILAN Jonathan,Lidl - Trek (WT),107.0,1.96,87.0,696,115,335,1356,62,1159,2025,25,22.646813827571847
SKJELMOSE Mattias,Lidl - Trek (WT),107.0,1.8,65.0,1386,2225,1084,126,2108,1408,2025,25,20.061728395061728
STUYVEN Jasper,Lidl - Trek (WT),107.0,1.87,78.0,4842,1314,284,1602,697,3441,2025,33,22.305470559638533
THEUNS Edward,Lidl - Trek (WT),107.0,1.83,72.0,2741,676,131,1622,26,1007,2025,34,21.49959688255845
CONSONNI Simone,Lidl - Trek (WT),107.0,1.65,60.0,1588,348,25,1296,82,1450,2025,31,22.03856749311295
BERNARD Julien,Lidl - Trek (WT),107.0,1.76,60.0,236,778,43,22,382,298,2025,33,19.369834710743802
GEOGHEGAN HART Tao,Lidl - Trek (WT),107.0,1.83,65.0,262,2709,911,158,2116,658,2025,30,19.409358296754156
NYS Thibau,Lidl - Trek (WT),107.0,1.76,64.0,665,309,56,196,604,701,2025,23,20.66115702479339
GAUDU David,Groupama - FDJ (WT),107.0,1.72,53.0,1762,3136,160,17,4052,1214,2025,29,17.915089237425637
