year_edition,name,rider_url,team,team_url,bib_number,nationality,birthdate,place_of_birth,height,weight,current_pcs_rank,current_uci_world_rank,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills
2015,VANMARCKE Sep,sep-vanmarcke,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2015,139,BE,1988-7-28,Kortrijk,1.9,77.0,,,4870,782,267,970,380,1748
2015,MOLLEMA Bauke,bauke-mollema,Trek Factory Racing  (WT),team/trek-factory-racing-2015,141,NL,1986-11-26,Groningen,1.84,64.0,,,5218,6013,2080,179,7443,4110
2015,ARREDONDO Julián David,julian-david-arredondo,Trek Factory Racing  (WT),team/trek-factory-racing-2015,142,CO,1988-7-30,Ciudad Bolívar,1.64,58.0,,,389,702,13,13,462,266
2015,CANCELLARA Fabian,fabian-cancellara,Trek Factory Racing  (WT),team/trek-factory-racing-2015,143,CH,1981-3-18,Wohlen bei Bern,1.86,80.0,,,6865,1866,12014,1352,388,2364
2015,DEVOLDER Stijn,stijn-devolder,Trek Factory Racing  (WT),team/trek-factory-racing-2015,144,BE,1979-8-29,Kortrijk,1.82,72.0,,,1734,1866,2517,30,418,337
2015,DIDIER Laurent,laurent-didier,Trek Factory Racing  (WT),team/trek-factory-racing-2015,145,LU,1984-7-19,Dippach,1.89,68.0,,,211,428,136,2,83,95
2015,IRIZAR Markel,markel-irizar,Trek Factory Racing  (WT),team/trek-factory-racing-2015,146,ES,1980-2-5,Oñati,1.82,73.0,,,246,832,923,1,24,117
2015,JUNGELS Bob,bob-jungels,Trek Factory Racing  (WT),team/trek-factory-racing-2015,147,LU,1992-9-22,Rollingen,1.89,70.0,,,1245,2624,2692,403,1652,1282
2015,RAST Grégory,gregory-rast,Trek Factory Racing  (WT),team/trek-factory-racing-2015,148,CH,1980-1-17,Cham,1.86,80.0,,,1769,919,403,96,37,238
2015,ZUBELDIA Haimar,haimar-zubeldia,Trek Factory Racing  (WT),team/trek-factory-racing-2015,149,ES,1977-4-1,Usurbil,1.79,68.0,,,1008,5327,1801,0,2781,622
2015,COSTA Rui,rui-costa,Lampre - Merida (WT),team/lampre-merida-2015,151,PT,1986-10-5,Póvoa de Varzim,1.82,69.0,,,4401,6234,1621,97,5354,2698
2015,BONO Matteo,matteo-bono,Lampre - Merida (WT),team/lampre-merida-2015,152,IT,1983-11-11,Iseo,1.71,60.0,,,284,445,2,0,64,51
2015,CIMOLAI Davide,davide-cimolai,Lampre - Merida (WT),team/lampre-merida-2015,153,IT,1989-8-13,Pordenone,1.81,70.0,,,1187,605,6,1023,141,1472
2015,ĐURASEK Kristijan,kristijan-durasek,Lampre - Merida (WT),team/lampre-merida-2015,154,HR,1987-7-26,Varaždin,1.7,56.0,,,527,585,103,0,482,66
2015,OLIVEIRA Nelson,nelson-oliveira,Lampre - Merida (WT),team/lampre-merida-2015,155,PT,1989-3-6,Anadia,1.8,67.0,,,624,1209,3816,24,546,884
2015,PLAZA Rubén,ruben-plaza,Lampre - Merida (WT),team/lampre-merida-2015,156,ES,1980-2-29,Ibi,1.91,77.0,,,450,2409,2023,3,1126,470
2015,POZZATO Filippo,filippo-pozzato,Lampre - Merida (WT),team/lampre-merida-2015,157,IT,1981-9-10,Sandrigo,1.83,73.0,,,6233,1123,483,468,558,1959
2015,SERPA José Rodolfo,jose-rodolfo-serpa,Lampre - Merida (WT),team/lampre-merida-2015,158,CO,1979-4-17,Corozal,1.78,64.0,,,559,1794,691,2,788,186
2015,VALLS Rafael,rafael-valls,Lampre - Merida (WT),team/lampre-merida-2015,159,ES,1987-6-25,Cocentaina,1.79,64.0,,,295,1209,78,6,666,324
2015,TALANSKY Andrew,andrew-talansky,Team Cannondale - Garmin  (WT),team/team-cannondale-garmin-2015,161,US,1988-11-23,New York,1.75,63.0,,,59,2636,1650,5,1759,930
2015,BAUER Jack,jack-bauer,Team Cannondale - Garmin  (WT),team/team-cannondale-garmin-2015,162,NZ,1985-4-7,Takaka,1.91,74.0,,,702,775,773,60,120,206
2015,HAAS Nathan,nathan-haas,Team Cannondale - Garmin  (WT),team/team-cannondale-garmin-2015,163,AU,1989-3-12,Brisbane,1.78,71.0,,,1176,1094,253,183,676,1062
2015,HESJEDAL Ryder,ryder-hesjedal,Team Cannondale - Garmin  (WT),team/team-cannondale-garmin-2015,164,CA,1980-12-9,Victoria,1.87,73.0,,,1726,2571,824,60,2890,947
2015,KOREN Kristijan,kristijan-koren,Team Cannondale - Garmin  (WT),team/team-cannondale-garmin-2015,165,SI,1986-11-25,Postojna,1.83,72.0,,,704,522,578,12,205,174
2015,LANGEVELD Sebastian,sebastian-langeveld,Team Cannondale - Garmin  (WT),team/team-cannondale-garmin-2015,166,NL,1985-1-17,Leiden,1.78,67.0,,,2265,1255,1114,163,88,488
2015,MARTIN Dan,dan-martin,Team Cannondale - Garmin  (WT),team/team-cannondale-garmin-2015,167,IE,1986-8-20,Birmingham,1.75,59.0,,,3462,6005,454,20,6652,2384
2015,NAVARDAUSKAS Ramūnas,ramunas-navardauskas,Team Cannondale - Garmin  (WT),team/team-cannondale-garmin-2015,168,LT,1988-1-30,Šilalė,1.9,79.0,,,1113,1025,1203,368,304,1050
2015,VAN BAARLE Dylan,dylan-van-baarle,Team Cannondale - Garmin  (WT),team/team-cannondale-garmin-2015,169,NL,1992-5-21,Voorburg,1.89,78.0,,,2684,1454,1306,176,514,1496
2015,BOUHANNI Nacer,nacer-bouhanni,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2015,171,FR,1990-7-25,Épinal,1.75,65.0,,,4555,464,51,3361,203,1942
2015,EDET Nicolas,nicolas-edet,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2015,172,FR,1987-12-2,La Ferté-Bernard,1.76,60.0,,,475,1575,78,0,1012,448
2015,LAPORTE Christophe,christophe-laporte,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2015,173,FR,1992-12-11,La Seyne-sur-Mer,1.91,76.0,75.0,67.0,4166,950,901,2068,368,1738
2015,MATÉ Luis Ángel,luis-angel-mate,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2015,174,ES,1984-3-23,Marbella,1.78,68.0,,,526,1154,60,3,725,434
2015,NAVARRO Daniel,daniel-navarro,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2015,175,ES,1983-7-18,Salamanca,1.74,60.0,,,291,2602,254,0,2052,379
2015,SÉNÉCHAL Florian,florian-senechal,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2015,176,FR,1993-7-10,Cambrai,1.79,77.0,,,3074,731,203,1092,100,1251
2015,SIMON Julien,julien-simon,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2015,177,FR,1985-10-4,Rennes,1.76,65.0,,,3411,1255,209,238,928,2078
2015,SOUPE Geoffrey,geoffrey-soupe,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2015,178,FR,1988-3-22,Viriat,1.77,70.0,,,222,402,154,380,72,228
2015,VANBILSEN Kenneth,kenneth-van-bilsen,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2015,179,BE,1990-6-1,Herk-de-Stad,1.84,73.0,,,819,175,3,92,2,102
2015,FRANK Mathias,mathias-frank,IAM Cycling (WT),team/iam-cycling-2015,181,CH,1986-12-9,Roggliswil,1.76,64.0,,,705,2877,600,5,1998,630
2015,BRÄNDLE Matthias,matthias-brandle,IAM Cycling (WT),team/iam-cycling-2015,182,AT,1989-12-7,Hohenems,1.9,80.0,,,474,998,3041,38,104,214
2015,CHAVANEL Sylvain,sylvain-chavanel,IAM Cycling (WT),team/iam-cycling-2015,183,FR,1979-6-30,Châtellerault,1.81,73.0,,,3106,5574,5723,342,1368,1664
2015,CLEMENT Stef,stef-clement,IAM Cycling (WT),team/iam-cycling-2015,184,NL,1982-9-24,Tilburg,1.81,66.0,,,106,1252,3248,32,572,414
2015,COPPEL Jérôme,jerome-coppel,IAM Cycling (WT),team/iam-cycling-2015,185,FR,1986-8-6,Annemasse,1.78,64.0,,,531,1959,2514,2,492,520
2015,ELMIGER Martin,martin-elmiger,IAM Cycling (WT),team/iam-cycling-2015,186,CH,1978-9-23,Cham,1.82,73.0,,,2968,1838,1415,146,411,805
2015,HOLLENSTEIN Reto,reto-hollenstein,IAM Cycling (WT),team/iam-cycling-2015,187,CH,1985-8-22,Frauenfeld,1.97,80.0,,,381,756,653,4,73,166
2015,PANTANO Jarlinson,jarlinson-pantano,IAM Cycling (WT),team/iam-cycling-2015,188,CO,1988-11-19,Cali,1.73,61.0,,,248,979,152,38,1102,826
2015,WYSS Marcel,marcel-wyss,IAM Cycling (WT),team/iam-cycling-2015,189,CH,1986-6-25,Langnau im Emmental,1.77,63.0,,,214,913,428,0,352,38
2015,NERZ Dominik,dominik-nerz,Bora - Argon 18 (PCT),team/bora-argon-18-2015,191,DE,1989-8-25,Wangen im Allgäu,1.8,67.0,,,293,606,182,2,414,233
2015,BÁRTA Jan,jan-barta,Bora - Argon 18 (PCT),team/bora-argon-18-2015,192,CZ,1984-12-7,Kyjov,1.84,75.0,,,374,1491,2605,60,288,167
2015,BENNETT Sam,sam-bennett,Bora - Argon 18 (PCT),team/bora-argon-18-2015,193,IE,1990-10-16,Wervik,1.78,73.0,,,2662,556,135,4424,130,1900
2015,BUCHMANN Emanuel,emanuel-buchmann,Bora - Argon 18 (PCT),team/bora-argon-18-2015,194,DE,1992-11-18, Ravensburg,1.8,59.0,,,816,3249,233,80,2960,840
2015,DEMPSTER Zak,zakkari-dempster,Bora - Argon 18 (PCT),team/bora-argon-18-2015,195,AU,1987-9-27,Castlemaine,1.9,77.0,,,554,183,99,260,12,68
2015,HUZARSKI Bartosz,bartosz-huzarski,Bora - Argon 18 (PCT),team/bora-argon-18-2015,196,PL,1980-10-27,Świdnica,1.83,69.0,,,224,1061,571,6,386,100
2015,MENDES José,jose-mendes,Bora - Argon 18 (PCT),team/bora-argon-18-2015,197,PT,1985-4-24,Guimarães,1.81,64.0,,,179,704,297,14,342,80
2015,SCHILLINGER Andreas,andreas-schillinger,Bora - Argon 18 (PCT),team/bora-argon-18-2015,198,DE,1983-7-13,Kümmersbruck,1.88,72.0,,,524,307,37,7,52,35
2015,VOß Paul,paul-voss,Bora - Argon 18 (PCT),team/bora-argon-18-2015,199,DE,1986-3-26,Rostock,1.78,66.0,,,524,513,217,30,148,330
2015,SEPÚLVEDA Eduardo,eduardo-sepulveda,Bretagne - Séché Environnement (PCT),team/bretagne-seche-environnement-2015,201,AR,1991-6-13,Rawson,1.73,59.0,,,579,1532,410,154,652,244
2015,BRUN Frederic,frederic-brun-2,Bretagne - Séché Environnement (PCT),team/bretagne-seche-environnement-2015,202,FR,1988-8-18,Belfort,1.89,73.0,,,38,54,9,0,12,0
2015,DELAPLACE Anthony,anthony-delaplace,Bretagne - Séché Environnement (PCT),team/bretagne-seche-environnement-2015,203,FR,1989-9-11,Valognes,1.81,65.0,,,1247,950,591,50,216,400
2015,FÉDRIGO Pierrick,pierrick-fedrigo,Bretagne - Séché Environnement (PCT),team/bretagne-seche-environnement-2015,204,FR,1978-11-30,Marmande,1.72,66.0,,,2264,2713,373,25,844,434
2015,FEILLU Brice,brice-feillu,Bretagne - Séché Environnement (PCT),team/bretagne-seche-environnement-2015,205,FR,1985-7-26,Châteaudun,1.9,69.0,,,173,999,172,4,636,148
2015,FONSECA Armindo,armindo-fonseca,Bretagne - Séché Environnement (PCT),team/bretagne-seche-environnement-2015,206,FR,1989-5-1,Rennes,1.68,56.0,,,866,269,12,105,34,168
2015,GÉRARD Arnaud,arnaud-gerard,Bretagne - Séché Environnement (PCT),team/bretagne-seche-environnement-2015,207,FR,1984-10-6,Dinan,1.84,70.0,,,779,503,468,0,66,60
2015,PÉRICHON Pierre-Luc,pierre-luc-perichon,Bretagne - Séché Environnement (PCT),team/bretagne-seche-environnement-2015,208,FR,1987-1-4,Bourg-en-Bresse,1.82,69.0,,,735,708,220,56,250,318
2015,VACHON Florian,florian-vachon,Bretagne - Séché Environnement (PCT),team/bretagne-seche-environnement-2015,209,FR,1985-1-2,Montluçon,1.79,65.0,,,1110,685,55,66,86,108
2015,BOASSON HAGEN Edvald,edvald-boasson-hagen,MTN - Qhubeka (PCT),team/mtn-qhubeka-2015,211,NO,1987-5-17,Rudsbygd,1.8,75.0,,,4411,3655,2967,1888,1012,4388
2015,CUMMINGS Steve,stephen-cummings,MTN - Qhubeka (PCT),team/mtn-qhubeka-2015,212,GB,1981-3-19,Clatterbridge,1.9,73.0,,,641,1558,1620,0,695,355
2015,FARRAR Tyler,tyler-farrar,MTN - Qhubeka (PCT),team/mtn-qhubeka-2015,213,US,1984-6-2,Wenatchee,1.83,73.0,,,2539,856,966,1654,124,1243
2015,JANSE VAN RENSBURG Jacques,jacques-janse-van-rensburg,MTN - Qhubeka (PCT),team/mtn-qhubeka-2015,214,ZA,1987-9-6,Springs,1.75,63.0,,,236,515,12,8,226,146
2015,JANSE VAN RENSBURG Reinardt,reinardt-janse-van-rensburg,MTN - Qhubeka (PCT),team/mtn-qhubeka-2015,215,ZA,1989-2-3,Virginia,1.82,74.0,,,1552,937,576,793,170,822
2015,KUDUS Merhawi,merhawi-kudus,MTN - Qhubeka (PCT),team/mtn-qhubeka-2015,216,ER,1994-1-23,Asmara,1.73,58.0,,,633,1610,280,84,962,530
2015,MEINTJES Louis,louis-meintjes,MTN - Qhubeka (PCT),team/mtn-qhubeka-2015,217,ZA,1992-2-21,Pretoria,1.73,58.0,,,669,3277,347,100,3326,484
2015,PAUWELS Serge,serge-pauwels,MTN - Qhubeka (PCT),team/mtn-qhubeka-2015,218,BE,1983-11-21,Lier,1.77,65.0,,,472,1317,49,0,1331,494
2015,TEKLEHAIMANOT Daniel,daniel-teklehaimanot,MTN - Qhubeka (PCT),team/mtn-qhubeka-2015,219,ER,1988-11-10,Debarwa,1.88,70.0,,,510,431,651,10,158,82
2016,FROOME Chris,christopher-froome,Team Sky (WT),team/team-sky-2016,1,GB,1985-5-20,Nairobi,1.86,68.0,,,385,8296,4389,188,6508,2328
2016,HENAO Sergio,sergio-luis-henao,Team Sky (WT),team/team-sky-2016,2,CO,1987-12-10,Rionegro,1.7,61.0,,,1622,3623,561,37,3050,1570
2016,KIRYIENKA Vasil,vasil-kiryienka,Team Sky (WT),team/team-sky-2016,3,BY,1981-6-28,Rečyca,1.82,69.0,,,506,1537,4521,29,1288,608
2016,LANDA Mikel,mikel-landa,Team Sky (WT),team/team-sky-2016,4,ES,1989-12-13,Murgia,1.72,61.0,31.0,26.0,1017,6401,298,28,7045,1186
2016,NIEVE Mikel,mikel-nieve,Team Sky (WT),team/team-sky-2016,5,ES,1984-5-26,Leitza,1.73,62.0,,,811,3608,31,0,4074,486
2016,POELS Wout,wout-poels,Team Sky (WT),team/team-sky-2016,6,NL,1987-10-1,Venray,1.86,66.0,,,1038,5143,916,32,4986,1763
2016,ROWE Luke,luke-rowe,Team Sky (WT),team/team-sky-2016,7,GB,1990-3-10,Cardiff,1.85,72.0,,,1185,466,142,170,49,413
2016,STANNARD Ian,ian-stannard,Team Sky (WT),team/team-sky-2016,8,GB,1987-5-25,Chelmsford,1.9,83.0,,,1120,651,445,238,9,206
2016,THOMAS Geraint,geraint-thomas,Team Sky (WT),team/team-sky-2016,9,GB,1986-5-25,Cardiff,1.83,71.0,,,1277,6411,5423,306,4205,2692
2016,QUINTANA Nairo,nairo-quintana,Movistar Team (WT),team/movistar-team-20162,11,CO,1990-2-4,Cómbita,1.67,58.0,,,829,9465,1274,34,7897,1962
2016,VALVERDE Alejandro,alejandro-valverde,Movistar Team (WT),team/movistar-team-20162,12,ES,1980-4-25,Murcia,1.77,61.0,,,13381,13732,4946,336,15230,7433
2016,ANACONA Winner,winner-anacona,Movistar Team (WT),team/movistar-team-20162,13,CO,1988-8-11,Tunja,1.79,65.0,,,320,895,222,20,766,160
2016,ERVITI Imanol,imanol-erviti,Movistar Team (WT),team/movistar-team-20162,14,ES,1983-11-15,Pamplona,1.9,82.0,,,749,951,437,60,216,328
2016,HERRADA Jesús,jesus-herrada-lopez,Movistar Team (WT),team/movistar-team-20162,15,ES,1990-7-26,Mota del Cuervo,1.83,70.0,,,2089,2338,946,481,2060,1406
2016,IZAGIRRE Gorka,gorka-izagirre,Movistar Team (WT),team/movistar-team-20162,16,ES,1987-10-7,Ormaiztegi,1.76,66.0,,,1422,2362,764,68,1924,1458
2016,IZAGIRRE Ion,ion-izagirre,Movistar Team (WT),team/movistar-team-20162,17,ES,1989-2-4,Ormaiztegi,1.73,60.0,,90.0,2008,5429,3017,172,4548,2284
2016,MORENO Daniel,daniel-moreno,Movistar Team (WT),team/movistar-team-20162,18,ES,1981-9-5,Madrid,1.73,59.0,,,2715,4395,490,110,4437,1906
2016,OLIVEIRA Nelson,nelson-oliveira,Movistar Team (WT),team/movistar-team-20162,19,PT,1989-3-6,Anadia,1.8,67.0,,,624,1209,3816,24,546,884
2016,ARU Fabio,fabio-aru,Astana Pro Team (WT),team/astana-pro-team-2016,21,IT,1990-7-3,San Gavino Monreale,1.83,63.0,,,932,3573,580,20,4035,1115
2016,NIBALI Vincenzo,vincenzo-nibali,Astana Pro Team (WT),team/astana-pro-team-2016,22,IT,1984-11-14,Messina,1.81,65.0,,,4805,9872,3781,274,9273,2889
2016,FUGLSANG Jakob,jakob-fuglsang,Astana Pro Team (WT),team/astana-pro-team-2016,23,DK,1985-3-22,Geneva,1.82,67.0,,,3654,6658,1693,191,5816,2402
2016,GRIVKO Andrey,andrei-grivko,Astana Pro Team (WT),team/astana-pro-team-2016,24,UA,1983-8-7,Zouïa,1.81,70.0,,,1378,2113,2146,84,430,662
2016,KANGERT Tanel,tanel-kangert,Astana Pro Team (WT),team/astana-pro-team-2016,25,EE,1987-3-11,Vändra,1.78,65.0,,,792,2357,1490,10,1679,609
2016,LUTSENKO Alexey,aleksey-lutsenko,Astana Pro Team (WT),team/astana-pro-team-2016,26,KZ,1992-9-7,Petropavl,1.74,74.0,,,2420,3216,1121,972,2690,1676
2016,ROSA Diego,diego-rosa,Astana Pro Team (WT),team/astana-pro-team-2016,27,IT,1989-3-27,Corneliano d'Alba,1.78,65.0,,,1042,940,344,26,1064,416
2016,SÁNCHEZ Luis León,luis-leon-sanchez,Astana Pro Team (WT),team/astana-pro-team-2016,28,ES,1983-11-24,Mula,1.86,73.0,,,2016,5925,2994,72,3076,2537
2016,TIRALONGO Paolo,paolo-tiralongo,Astana Pro Team (WT),team/astana-pro-team-2016,29,IT,1977-7-8,Avola,1.78,63.0,,,689,1598,114,2,1450,766
2016,CONTADOR Alberto,alberto-contador,Tinkoff (WT),team/tinkoff-2016,31,ES,1982-12-6,Pinto,1.76,61.0,,,770,11393,6093,102,8230,2379
2016,SAGAN Peter,peter-sagan,Tinkoff (WT),team/tinkoff-2016,32,SK,1990-1-26,Žilina,1.82,78.0,,,9426,1797,1335,5996,2578,8566
2016,BODNAR Maciej,maciej-bodnar,Tinkoff (WT),team/tinkoff-2016,33,PL,1985-3-7,Oława,1.86,77.0,,,303,883,3562,86,18,138
2016,GATTO Oscar,oscar-gatto,Tinkoff (WT),team/tinkoff-2016,34,IT,1985-1-1, Montebelluna,1.74,67.0,,,1647,572,70,226,239,533
2016,KIŠERLOVSKI Robert,robert-kiserlovski,Tinkoff (WT),team/tinkoff-2016,35,HR,1986-8-9,Čačak,1.8,72.0,,,431,1985,124,4,1326,484
2016,KREUZIGER Roman,roman-kreuziger,Tinkoff (WT),team/tinkoff-2016,36,CZ,1986-5-6,Moravská Třebová,1.83,65.0,,,2417,5077,2171,49,4204,1572
2016,MAJKA Rafał,rafal-majka,Tinkoff (WT),team/tinkoff-2016,37,PL,1989-9-12,Zegartowice,1.73,62.0,,,1184,5689,919,40,6358,1922
2016,TOSATTO Matteo,matteo-tosatto,Tinkoff (WT),team/tinkoff-2016,38,IT,1974-5-14,Castelfranco Veneto,1.81,74.0,,,1847,930,283,228,258,480
2016,VALGREN Michael,michael-valgren-andersen,Tinkoff (WT),team/tinkoff-2016,39,DK,1992-2-7,Østerild,1.79,71.0,,,2927,1193,453,446,1013,1864
2016,BARDET Romain,romain-bardet,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2016,41,FR,1990-11-9, Brioude,1.85,65.0,,93.0,3401,6495,401,366,8511,2067
2016,BAKELANTS Jan,jan-bakelants,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2016,42,BE,1986-2-14, Oudenaarde,1.77,67.0,,,1991,2656,314,100,1758,1818
2016,CHEREL Mikaël,mikael-cherel,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2016,43,FR,1986-3-17,Saint-Hilaire-du-Harcouët,1.83,65.0,,,654,1318,0,24,597,486
2016,DUMOULIN Samuel,samuel-dumoulin,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2016,44,FR,1980-8-20, Vénissieux,1.59,57.0,,,3742,1279,91,807,272,1494
2016,GASTAUER Ben,ben-gastauer,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2016,45,LU,1987-11-14,Dudelange,1.9,73.0,,,282,763,142,5,223,54
2016,GAUTIER Cyril,cyril-gautier,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2016,46,FR,1987-9-26,Plouagat,1.69,65.0,,,1492,1018,95,40,780,726
2016,GOUGEARD Alexis,alexis-gougeard,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2016,47,FR,1993-3-5,Rouen,1.76,70.0,,,585,659,556,80,162,284
2016,POZZOVIVO Domenico,domenico-pozzovivo,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2016,48,IT,1982-11-30,Policoro,1.65,53.0,,,2678,6519,819,45,6306,1833
2016,VUILLERMOZ Alexis,alexis-vuillermoz,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2016,49,FR,1988-6-1,Saint-Claude,1.73,60.0,,,1544,1578,98,41,1616,884
2016,KELDERMAN Wilco,wilco-kelderman,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2016,51,NL,1991-3-25,Amersfoort,1.85,65.0,68.0,89.0,754,6079,2699,84,5112,2562
2016,BENNETT George,george-bennett,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2016,52,NZ,1990-4-7,Nelson,1.81,58.0,,,869,3482,266,86,2902,1084
2016,GROENEWEGEN Dylan,dylan-groenewegen,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2016,53,NL,1993-6-21,Amsterdam,1.77,70.0,92.0,,4065,385,15,8072,38,1031
2016,LINDEMAN Bert-Jan,bert-jan-lindeman,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2016,54,NL,1989-6-16,Emmen,1.8,69.0,,,604,530,21,100,180,111
2016,MARTENS Paul,paul-martens,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2016,55,DE,1983-10-26,Rostock,1.78,69.0,,,1711,1162,482,17,326,972
2016,ROOSEN Timo,timo-roosen,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2016,56,NL,1993-1-11,Tilburg,1.93,78.0,,,1030,422,200,386,146,551
2016,VANMARCKE Sep,sep-vanmarcke,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2016,57,BE,1988-7-28,Kortrijk,1.9,77.0,,,4870,782,267,970,380,1748
2016,WAGNER Robert,robert-wagner,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2016,58,DE,1983-4-17,Magdeburg,1.86,75.0,,,679,374,301,90,0,3
2016,WYNANTS Maarten,maarten-wynants,Team LottoNL-Jumbo (WT),team/team-lottonl-jumbo-2016,59,BE,1982-5-13,Hasselt,1.9,74.0,,,1352,596,127,120,32,88
2016,MOLLEMA Bauke,bauke-mollema,Trek - Segafredo (WT),team/trek-segafredo-2016,61,NL,1986-11-26,Groningen,1.84,64.0,,,5218,6013,2080,179,7443,4110
2016,CANCELLARA Fabian,fabian-cancellara,Trek - Segafredo (WT),team/trek-segafredo-2016,62,CH,1981-3-18,Wohlen bei Bern,1.86,80.0,,,6865,1866,12014,1352,388,2364
2016,IRIZAR Markel,markel-irizar,Trek - Segafredo (WT),team/trek-segafredo-2016,63,ES,1980-2-5,Oñati,1.82,73.0,,,246,832,923,1,24,117
2016,RAST Grégory,gregory-rast,Trek - Segafredo (WT),team/trek-segafredo-2016,64,CH,1980-1-17,Cham,1.86,80.0,,,1769,919,403,96,37,238
2016,SCHLECK Fränk,frank-schleck,Trek - Segafredo (WT),team/trek-segafredo-2016,65,LU,1980-4-15,Luxembourg,1.86,65.0,,,3419,5144,683,11,3843,734
2016,STETINA Peter,peter-stetina,Trek - Segafredo (WT),team/trek-segafredo-2016,66,US,1987-8-8,Boulder,1.8,63.0,,,299,1036,65,8,534,138
2016,STUYVEN Jasper,jasper-stuyven,Trek - Segafredo (WT),team/trek-segafredo-2016,67,BE,1992-4-17, Leuven,1.87,78.0,,,4842,1314,284,1602,697,3441
2016,THEUNS Edward,edward-theuns,Trek - Segafredo (WT),team/trek-segafredo-2016,68,BE,1991-4-30,Gent,1.83,72.0,,,2741,676,131,1622,26,1007
2016,ZUBELDIA Haimar,haimar-zubeldia,Trek - Segafredo (WT),team/trek-segafredo-2016,69,ES,1977-4-1,Usurbil,1.79,68.0,,,1008,5327,1801,0,2781,622
2016,FRANK Mathias,mathias-frank,IAM Cycling (WT),team/iam-cycling-2016,71,CH,1986-12-9,Roggliswil,1.76,64.0,,,705,2877,600,5,1998,630
2016,CLEMENT Stef,stef-clement,IAM Cycling (WT),team/iam-cycling-2016,72,NL,1982-9-24,Tilburg,1.81,66.0,,,106,1252,3248,32,572,414
2016,COPPEL Jérôme,jerome-coppel,IAM Cycling (WT),team/iam-cycling-2016,73,FR,1986-8-6,Annemasse,1.78,64.0,,,531,1959,2514,2,492,520
2016,ELMIGER Martin,martin-elmiger,IAM Cycling (WT),team/iam-cycling-2016,74,CH,1978-9-23,Cham,1.82,73.0,,,2968,1838,1415,146,411,805
2016,ENGER Sondre Holst,sondre-holst-enger,IAM Cycling (WT),team/iam-cycling-2016,75,NO,1993-12-17,Horten,1.71,69.0,,,279,271,56,362,38,184
2016,HOLLENSTEIN Reto,reto-hollenstein,IAM Cycling (WT),team/iam-cycling-2016,76,CH,1985-8-22,Frauenfeld,1.97,80.0,,,381,756,653,4,73,166
2016,HOWARD Leigh,leigh-howard,IAM Cycling (WT),team/iam-cycling-2016,77,AU,1989-10-18,Geelong,1.79,72.0,,,597,243,185,122,6,184
2016,NAESEN Oliver,oliver-naesen,IAM Cycling (WT),team/iam-cycling-2016,78,BE,1990-9-16,Oostende,1.84,74.0,,,4340,1447,49,756,415,2328
2016,PANTANO Jarlinson,jarlinson-pantano,IAM Cycling (WT),team/iam-cycling-2016,79,CO,1988-11-19,Cali,1.73,61.0,,,248,979,152,38,1102,826
2016,ROLLAND Pierre,pierre-rolland,Cannondale - Drapac Pro Cycling Team (WT),team/cannondale-drapac-pro-cycling-team-2016,81,FR,1986-10-10, Gien,1.84,70.0,,,502,3339,250,20,3300,642
2016,BRESCHEL Matti,matti-breschel,Cannondale - Drapac Pro Cycling Team (WT),team/cannondale-drapac-pro-cycling-team-2016,82,DK,1984-8-31,Faxe,1.81,70.0,,,3243,1274,41,393,520,1132
2016,CRADDOCK Lawson,lawson-craddock,Cannondale - Drapac Pro Cycling Team (WT),team/cannondale-drapac-pro-cycling-team-2016,83,US,1992-2-20,Houston,1.78,69.0,,,211,862,1540,41,522,500
2016,HOWES Alex,alex-howes,Cannondale - Drapac Pro Cycling Team (WT),team/cannondale-drapac-pro-cycling-team-2016,84,US,1988-1-1,Denver,1.8,61.0,,,409,482,12,66,119,200
