year_edition,name,rider_url,team,team_url,bib_number,nationality,birthdate,place_of_birth,height,weight,current_pcs_rank,current_uci_world_rank,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills
2014,MAJKA Rafał,rafal-majka,Tinkoff - Saxo (WT),team/tinkoff-saxo-2014,34,PL,1989-9-12,Zegartowice,1.73,62.0,,,1184,5689,919,40,6358,1922
2014,MØRKØV Michael,michael-morkov,Tinkoff - Saxo (WT),team/tinkoff-saxo-2014,35,DK,1985-4-30,Kokkedal,1.83,71.0,,,1239,978,366,711,143,518
2014,PAULINHO Sérgio Miguel,sergio-paulinho,Tinkoff - Saxo (WT),team/tinkoff-saxo-2014,36,PT,1980-3-26,Oeiras,1.72,64.0,,,493,771,674,0,410,214
2014,ROCHE Nicolas,nicolas-roche,Tinkoff - Saxo (WT),team/tinkoff-saxo-2014,37,IE,1984-7-3,Conflans-Sainte-Honorine,1.78,70.0,,,1352,3473,672,192,3660,2294
2014,ROGERS Michael,michael-rogers,Tinkoff - Saxo (WT),team/tinkoff-saxo-2014,38,AU,1979-12-20,Barham,1.85,74.0,,,634,5362,5388,64,1546,746
2014,TOSATTO Matteo,matteo-tosatto,Tinkoff - Saxo (WT),team/tinkoff-saxo-2014,39,IT,1974-5-14,Castelfranco Veneto,1.81,74.0,,,1847,930,283,228,258,480
2014,NIBALI Vincenzo,vincenzo-nibali,Astana Pro Team (WT),team/astana-pro-team-2014,41,IT,1984-11-14,Messina,1.81,65.0,,,4805,9872,3781,274,9273,2889
2014,FUGLSANG Jakob,jakob-fuglsang,Astana Pro Team (WT),team/astana-pro-team-2014,42,DK,1985-3-22,Geneva,1.82,67.0,,,3654,6658,1693,191,5816,2402
2014,GRIVKO Andrey,andrei-grivko,Astana Pro Team (WT),team/astana-pro-team-2014,43,UA,1983-8-7,Zouïa,1.81,70.0,,,1378,2113,2146,84,430,662
2014,GRUZDEV Dmitriy,dmitriy-gruzdev,Astana Pro Team (WT),team/astana-pro-team-2014,44,KZ,1986-3-13,Astana,1.86,78.0,,,598,774,913,10,14,22
