hybrid_position,rider_name,team,nationality,age,image_url,hybrid_score,predicted_position,uci_rank,pcs_rank
87,STUYVEN Jasper,Lidl - Trek (WT),BE,33,,245.0,75,500.0,500.0
88,CAMPENAERTS Victor,Team Visma | Lease a Bike (WT),BE,34,,245.6,76,500.0,500.0
89,THOMAS Benjamin,Cofidis (WT),FR,30,,246.8,78,500.0,500.0
90,NOVAK Domen,UAE Team Emirates - XRG (WT),SI,30,,248.0,80,500.0,500.0
91,HOELGAARD Markus,Uno-X Mobility (PRT),NO,31,,248.6,81,500.0,500.0
92,BARRÉ Louis,Intermarché - Wanty (WT),FR,25,,249.8,83,500.0,500.0
93,ROMEO Iván,Movistar Team (WT),ES,22,,251.0,85,500.0,500.0
94,MEZGEC Luka,Team Jayco AlUla (WT),SI,37,,251.6,86,500.0,500.0
95,POLITT Nils,UAE Team Emirates - XRG (WT),DE,31,,252.2,87,500.0,500.0
96,EENKHOORN Pascal,Soudal Quick-Step (WT),NL,28,,252.8,88,500.0,500.0
97,VAN POPPEL Danny,Red Bull - BORA - hansgrohe (WT),NL,32,,253.4,89,500.0,500.0
98,JOHANNESSEN Anders Halland,Uno-X Mobility (PRT),NO,26,,254.0,90,500.0,500.0
99,DE BUYST Jasper,Lotto (PRT),BE,32,,255.2,92,500.0,500.0
100,BERCKMOES Jenno,Lotto (PRT),BE,24,,256.4,94,500.0,500.0
101,JUUL-JENSEN Christopher,Team Jayco AlUla (WT),DK,36,,257.0,95,500.0,500.0
102,RIESEBEEK Oscar,Alpecin - Deceuninck (WT),NL,33,,257.6,96,500.0,500.0
103,STEWART Jake,Israel - Premier Tech (PRT),GB,26,,258.2,97,500.0,500.0
104,PAGE Hugo,Intermarché - Wanty (WT),FR,24,,258.8,98,500.0,500.0
105,PEDERSEN Casper,Soudal Quick-Step (WT),DK,29,,260.0,100,500.0,500.0
106,ACKERMANN Pascal,Israel - Premier Tech (PRT),DE,31,,261.8,103,500.0,500.0
107,GAVIRIA Fernando,Movistar Team (WT),CO,31,,262.4,104,500.0,500.0
108,ABRAHAMSEN Jonas,Uno-X Mobility (PRT),NO,30,,263.6,106,500.0,500.0
109,CONSONNI Simone,Lidl - Trek (WT),IT,31,,264.2,107,500.0,500.0
110,AFFINI Edoardo,Team Visma | Lease a Bike (WT),IT,29,,264.8,108,500.0,500.0
111,SWEENY Harry,EF Education - EasyPost (WT),AU,27,,265.4,109,500.0,500.0
112,FREDHEIM Stian,Uno-X Mobility (PRT),NO,22,,266.0,110,500.0,500.0
113,REX Laurenz,Intermarché - Wanty (WT),BE,26,,266.6,111,500.0,500.0
114,BAUHAUS Phil,Bahrain - Victorious (WT),DE,31,,267.8,113,500.0,500.0
115,THEUNS Edward,Lidl - Trek (WT),BE,34,,268.4,114,500.0,500.0
116,VAN LERBERGHE Bert,Soudal Quick-Step (WT),BE,33,,269.0,115,500.0,500.0
117,REINDERS Elmar,Team Jayco AlUla (WT),NL,33,,270.2,117,500.0,500.0
